epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5817,1.46133,2.91991,1.55288,0.52341,0.32618,0.33473,0.16107,1.82219,2.1048,1.78585,0.00023654,0.00023654,0.00023654
2,60.8715,1.34601,2.01915,1.49551,0.54028,0.42417,0.41124,0.17537,1.95457,1.8275,1.9431,0.000465144,0.000465144,0.000465144
3,88.2397,1.31437,1.83644,1.46659,0.63214,0.38886,0.4221,0.17067,2.01329,1.94193,2.05385,0.000684323,0.000684323,0.000684323
4,113.765,1.28603,1.7381,1.43708,0.68053,0.41854,0.4812,0.19651,2.05286,1.80092,2.0224,0.000671588,0.000671588,0.000671588
5,139.67,1.26512,1.67801,1.42177,0.63253,0.48646,0.51905,0.24182,1.82589,1.72933,1.82803,0.000657451,0.000657451,0.000657451
6,163.495,1.25904,1.62445,1.4033,0.63662,0.48818,0.52194,0.22415,1.94589,1.6833,1.86762,0.000643314,0.000643314,0.000643314
7,184.084,1.22833,1.56008,1.3879,0.67487,0.52495,0.55126,0.24724,1.89847,1.65443,1.85779,0.000629177,0.000629177,0.000629177
8,205.572,1.20882,1.51423,1.37901,0.65107,0.54108,0.57188,0.25901,1.8586,1.52559,1.83935,0.00061504,0.00061504,0.00061504
9,227.543,1.18965,1.46796,1.36298,0.64511,0.56503,0.58473,0.28625,1.76634,1.50454,1.72486,0.000600902,0.000600902,0.000600902
10,250.99,1.17604,1.41887,1.34576,0.71652,0.56402,0.61631,0.29054,1.8291,1.38415,1.81177,0.000586765,0.000586765,0.000586765
11,272.768,1.16085,1.38732,1.34043,0.73631,0.56936,0.62611,0.29411,1.77536,1.39296,1.73053,0.000572628,0.000572628,0.000572628
12,294.433,1.15483,1.35566,1.32841,0.79501,0.55443,0.63421,0.32048,1.69133,1.33176,1.70075,0.000558491,0.000558491,0.000558491
13,317.517,1.14739,1.33298,1.32196,0.79641,0.55882,0.63648,0.29277,1.80544,1.37487,1.76489,0.000544354,0.000544354,0.000544354
14,338.081,1.13288,1.30609,1.3104,0.82841,0.58093,0.65523,0.32614,1.70323,1.28381,1.67068,0.000530216,0.000530216,0.000530216
15,359.32,1.13132,1.28435,1.30483,0.73416,0.60215,0.64735,0.29262,1.84248,1.33889,1.75906,0.000516079,0.000516079,0.000516079
16,379.775,1.11069,1.24336,1.29154,0.80034,0.57529,0.6466,0.30119,1.80004,1.30771,1.77878,0.000501942,0.000501942,0.000501942
17,400.19,1.1061,1.25118,1.28823,0.76353,0.59139,0.65623,0.33457,1.67943,1.2459,1.64857,0.000487805,0.000487805,0.000487805
18,421.359,1.10381,1.22057,1.28747,0.7524,0.59932,0.65942,0.33242,1.65502,1.23157,1.64776,0.000473668,0.000473668,0.000473668
19,441.93,1.10029,1.19552,1.27359,0.79342,0.57834,0.65068,0.3198,1.68215,1.27749,1.68595,0.00045953,0.00045953,0.00045953
20,462.463,1.09149,1.19138,1.27786,0.80789,0.60604,0.66687,0.33621,1.70715,1.23937,1.68319,0.000445393,0.000445393,0.000445393
