epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3872,0.675,0.53362,0.98738,0.59498,0.37755,0.41454,0.18991,2.16805,2.56586,2.42771,0.0672378,0.000164634,0.000164634
2,65.9345,0.62044,0.47631,0.96073,0.87662,0.71133,0.77825,0.51052,1.25268,0.83936,1.40121,0.0340684,0.000328568,0.000328568
3,93.9452,0.5636,0.43474,0.94289,0.93977,0.75163,0.83399,0.53039,1.31934,0.72577,1.4415,0.000896255,0.000489751,0.000489751
4,121.633,0.55969,0.42728,0.93651,0.93622,0.74472,0.82591,0.56327,1.15227,0.69779,1.34623,0.000487625,0.000487625,0.000487625
5,148.689,0.55646,0.42582,0.93616,0.9128,0.78228,0.84212,0.56376,1.20976,0.66209,1.34159,0.0004835,0.0004835,0.0004835
6,176.341,0.5717,0.43077,0.93867,0.91596,0.75198,0.82857,0.55002,1.24236,0.68623,1.35452,0.000479375,0.000479375,0.000479375
7,203.335,0.56908,0.43151,0.94007,0.94144,0.74809,0.83019,0.53485,1.33108,0.72106,1.42489,0.00047525,0.00047525,0.00047525
8,231.438,0.55962,0.4245,0.94035,0.8968,0.78499,0.83811,0.54775,1.23427,0.67584,1.393,0.000471125,0.000471125,0.000471125
9,258.06,0.56137,0.42829,0.94014,0.91458,0.77477,0.83885,0.5681,1.14052,0.69587,1.30275,0.000467,0.000467,0.000467
10,284.704,0.56855,0.4314,0.93756,0.89513,0.7671,0.82727,0.53559,1.2764,0.74175,1.40053,0.000462875,0.000462875,0.000462875
11,310.454,0.56855,0.42973,0.94258,0.90851,0.74383,0.82405,0.55385,1.17179,0.67295,1.33611,0.00045875,0.00045875,0.00045875
12,337.721,0.56101,0.42442,0.93706,0.93885,0.74691,0.84003,0.54349,1.23426,0.68226,1.37887,0.000454625,0.000454625,0.000454625
13,363.892,0.56678,0.43237,0.94023,0.92004,0.74379,0.82066,0.56967,1.11478,0.70239,1.26919,0.0004505,0.0004505,0.0004505
14,389.854,0.5601,0.42566,0.93616,0.90579,0.76496,0.82923,0.5626,1.13981,0.65117,1.33604,0.000446375,0.000446375,0.000446375
15,415.884,0.558,0.42357,0.93787,0.94385,0.7459,0.83105,0.56364,1.17173,0.72223,1.34918,0.00044225,0.00044225,0.00044225
16,445.027,0.56194,0.42424,0.9365,0.89648,0.74124,0.82273,0.57978,1.08569,0.68831,1.2615,0.000438125,0.000438125,0.000438125
